index,phr_mid (dB),phr (dB),phr,sinr_mid (dB),sinr (dB),sinr,mcs target code rate,cqi coding rate
0,x,"(-infty,-32)",x,x,"(-infty,-23)",x,0.117,x
1,-31.5,"[-32,-31)",0.000707946,-22.75,"[-23,-22.5)",0.005308844,0.188,0.076
2,-30.5,"[-31,-30)",0.000891251,-22.25,"[-22.5,-22)",0.005956621,0.301,0.188
3,-29.5,"[-30,-29)",0.001122018,-21.75,,0.006683439,0.438,0.438
4,-28.5,,0.001412538,-21.25,,0.007498942,0.588,0.369
5,-27.5,,0.001778279,-20.75,,0.008413951,0.369,0.479
6,-26.5,,0.002238721,-20.25,,0.009440609,0.424,0.602
7,-25.5,,0.002818383,-19.75,,0.010592537,0.479,0.455
8,-24.5,,0.003548134,-19.25,,0.011885022,0.54,0.554
9,-23.5,,0.004466836,-18.75,,0.013335214,0.602,0.65
10,-22.5,,0.005623413,-18.25,,0.014962357,0.643,0.754
11,-21.5,,0.007079458,-17.75,,0.01678804,0.455,0.853
12,-20.5,,0.008912509,-17.25,,0.018836491,0.505,0.694
13,-19.5,,0.011220185,-16.75,,0.02113489,0.554,0.778
14,-18.5,,0.014125375,-16.25,,0.023713737,0.602,0.864
15,-17.5,,0.017782794,-15.75,,0.026607251,0.65,0.926
16,-16.5,,0.022387211,-15.25,,0.029853826,0.702,
17,-15.5,,0.028183829,-14.75,,0.033496544,0.754,
18,-14.5,,0.035481339,-14.25,,0.03758374,0.803,
19,-13.5,,0.044668359,-13.75,,0.04216965,0.853,
20,-12.5,,0.056234133,-13.25,,0.047315126,0.667,
21,-11.5,,0.070794578,-12.75,,0.053088444,0.694,
22,-10.5,,0.089125094,-12.25,,0.059566214,0.736,
23,-9.5,,0.112201845,-11.75,,0.066834392,0.778,
24,-8.5,,0.141253754,-11.25,,0.074989421,0.821,
25,-7.5,,0.177827941,-10.75,,0.084139514,0.864,
26,-6.5,,0.223872114,-10.25,,0.094406088,0.895,
27,-5.5,,0.281838293,-9.75,,0.105925373,0.926,
28,-4.5,,0.354813389,-9.25,,0.118850223,,
29,-3.5,,0.446683592,-8.75,,0.133352143,,
30,-2.5,,0.562341325,-8.25,,0.149623566,,
31,-1.5,,0.707945784,-7.75,,0.167880402,,
32,-0.5,,0.891250938,-7.25,,0.188364909,,
33,0.5,,1.122018454,-6.75,,0.211348904,,
34,1.5,,1.412537545,-6.25,,0.237137371,,
35,2.5,,1.77827941,-5.75,,0.266072506,,
36,3.5,,2.238721139,-5.25,,0.298538262,,
37,4.5,,2.818382931,-4.75,,0.334965439,,
38,5.5,,3.548133892,-4.25,,0.375837404,,
39,6.5,,4.466835922,-3.75,,0.421696503,,
40,7.5,,5.623413252,-3.25,,0.473151259,,
41,8.5,,7.079457844,-2.75,,0.530884444,,
42,9.5,,8.912509381,-2.25,,0.595662144,,
43,10.5,,11.22018454,-1.75,,0.668343918,,
44,11.5,,14.12537545,-1.25,,0.749894209,,
45,12.5,,17.7827941,-0.75,,0.841395142,,
46,13.5,,22.38721139,-0.25,,0.944060876,,
47,14.5,,28.18382931,0.25,,1.059253725,,
48,15.5,,35.48133892,0.75,,1.188502227,,
49,16.5,,44.66835922,1.25,,1.333521432,,
50,17.5,,56.23413252,1.75,,1.496235656,,
51,18.5,,70.79457844,2.25,,1.678804018,,
